weapon,type,别名,外文名,相关型号,速度参数,范围参数,尺寸参数,质量参数,数量参数,级别参数,时间,国家,相关的人与机构,作用,现状,相关地点,特点,装备
秘鲁MGP-87A式9MM冲锋枪,冲锋枪,,,,,,,,,,,,生产单位:秘鲁西玛瑟法尔公司;,用途:杀伤近距离内有生目标;,,,,
美国汤普森M1928A1式11.43MM冲锋枪,冲锋枪,,外文名:TOMPSEN M1A1;,,,,,,,,,原产国:美国;,生产单位:美国自动武器公司;,用途:杀伤近距离内有生目标;,现状:停产;,,,
美国汤普森M1A1式11.43MM冲锋枪,冲锋枪,别名:汤米冲锋枪;,外文名:Thompson;,,,,,,,,,国家:美国;,,用途:杀伤近距离内有生目标;,,,结构特点:威力大，火力猛;,
美国汤普森M1式11.43MM冲锋枪,冲锋枪,,外文名:TOMPSEN M1A1;,,,,,,,,,原产国:美国;,生产单位:美国自动武器公司;,用途:杀伤近距离内有生目标;,现状:停产;,,,
美国英格拉姆M10式和M11式冲锋枪,冲锋枪,,,,,,,,,,设计时间:1964年;,,设计师:戈登·B.英格拉姆;,,,,特点:可消声;,
美国英格拉姆M6式冲锋枪,冲锋枪,,,,,,,,,,,国家:美国;,,,,,,
美国英格拉姆M9式冲锋枪,冲锋枪,,,,,,,,,,,,设计者:戈登·B·英格拉姆;生产单位: 美国警用武器公司;,,,,,
MP5PIP冲锋枪,冲锋枪,,,,,,,,,,,,,,,,,
MPi69冲锋枪,冲锋枪,,,,,,,,,,生产:1969年;,,,,,,,
M96紧凑型冲锋枪,冲锋枪,,,,,,,,,,,,,,,,特点:机匣外形尺寸与MP5K相同;性质:冲锋枪;,
美国UDM42式冲锋枪,冲锋枪,原名:UD M41式;,,,,,,,,,正式投产时间:1942年;,,,,,,,
MP5SD冲锋枪,冲锋枪,,,,,,,,,,时间:20世纪60年代末期;,国家:德国;,,,,,,
M10冲锋枪,冲锋枪,,,,初速:280M/S;,,,,,,设计时间:1964年;,,设计者:戈登·B·英格拉姆;,,,,,
M3式冲锋枪[军事武器枪械],冲锋枪,,,,,,,,,,,,,,,,,
MP5K-PDW冲锋枪,冲锋枪,,,,,,,,,,出产时间:1991年;定型时间:1991年;,,,,,,特点:安装右侧折叠式塑料枪托;,
MP7A1ammo60R,冲锋枪,,,,,,,,,,,,,,,,,
MC51冲锋枪,冲锋枪,别名:G3冲锋枪(G3 SMG);,,,,,,,弹夹容量:20发;,,,,,,,,,
MP2000冲锋枪,冲锋枪,,,,,,口径:9×19mm;,,,,,,,,,,,
Model633冲锋枪,冲锋枪,,,,,,,,,,,,,,,,,
MP41冲锋枪,冲锋枪,,,,,,,,,,,国家:德国;,,用途:杀伤有生目标;,,,,
MP9微声冲锋枪,冲锋枪,,,,,,口径:9毫米;,,,,,国家:瑞士;,生产商:布鲁加-托梅公司;,,,,,
MP5-A,冲锋枪,,,,初速度:400m/s;,有效射程:200m;,全长:680mm(标准型);枪管长:225mm;,空枪重量:2.54kg;,容弹量:30发;弹药:9x19mm手枪弹;,,,原产地:德国;,制造商:赫尔勒&科赫（HK）公司;,,,,,
美国American-180冲锋枪,冲锋枪,,外文名称:American-180;,,,,,,,,,所属国家:美国;,研制机构:E&L生产公司;,,,,,
mp9[军用反恐狙击弩],冲锋枪,,,,,,,,,,,,,,,,,
Mac10,冲锋枪,,,,,,,,,,,国家:美国;,设计师:戈登·B·英格拉姆;,用途:杀伤有生目标;,,,,
德国MP7单兵自卫武器,冲锋枪,,外文名:Hk MP7;,,,,,,,,,国家:德国;,使用者:德军;,,,,,
Model635冲锋枪[军事武器枪械],冲锋枪,,,,,,,,,,,,,,,,,
MP5KA1突击冲风枪,冲锋枪,,,,,,,,,,,国家:德国;,,用途:杀伤有生目标;,,,,
ZB26式轻机枪,机枪,,英文名称:ZB vz. 26light machine gun;捷克文名称:Lehky kulomet vz. 26;,次型/级:ZB vz.27;前型/级:布拉格I式(Praga I)；M24布拉格I-23轻机枪;,枪口初速:744米/秒;发射速率:500发/分钟;,,枪管长度:672 mm;全长:1150 mm;,总重:10.5公斤;,,,服役时间:由1924年开始;研制时间:1923年;定型时间:1926年;,国家:捷克斯洛伐克;,生产商:捷克布鲁诺兵工厂;,,,,,
dp轻机枪,机枪,,外文名:Пулемёт Дегтярёвa Пехотный;,,,,,,,,服役时间:1928年;研制时间:1926年;,国家:苏联;,,,,,,
67式轻重两用机枪,机枪,,,,,,全长:1650毫米;口径:7.62毫米;,,,,,,,,,,,
58式机枪,机枪,,,,战斗射速:230-250发/分;初速:840米/秒;理论射速:600发/分;,有效射程:1000米;,全长:1272毫米;枪管长:605毫米;口径:7.62毫米;,重量:12.9千克;,载弹量:250发;,,,国家:中国;,,,,,,
85式重机枪,机枪,,,前型/级:77式;,弹头初速:800/1150米/秒;,,口径:12.7毫米;,,,,定型时间:1985年;,,,,,,,
85式狙击步枪,机枪,,,,,有效射程:800米;,"全枪长:1,220毫米;口径:7.62毫米;",全枪重:4.4千克;,弹匣容弹量:10发;,,生产年限:1979年;,,,,,,,
MG42机枪,机枪,,,,"战斗射速:1,500发/分;","有效射程:1,000米;","全枪长:1,219毫米;口径:7.92毫米;",全枪重:11.5千克;,,,生产年限:1942年-1945年和1959年至今;,,制造商:德国毛瑟公司;,,,,,
M249班用自动武器,机枪,,,,"战斗射速:1,000发/分;","有效射程:1,000米;","全枪长:1,040毫米;口径:5.56毫米;",全枪重:10.02千克;,,,生产年限:1992年;,,制造商:赫斯塔尔公司（FN）;,,,,,
81式班用轻机枪,机枪,,英文名:Type 81 Class Light Machine Gun;,,战斗射速:120发/分;初速:735m/s;,有效射程:600m;,全长:1004mm;枪管长:520mm;口径:7.62mm;,重量:5.15kg;,载弹量:弹夹30发/弹鼓75发;,,服役时间:填写此处;设计时间:1981年;,国家:中国;,,,,,,
67式通用机枪,机枪,,,,,,,,,,研制时间:1967年;,国家:中国;,,,,,,
53式重机枪,机枪,,,,,,口径:7.62毫米;,,弹箱容量:250发;,,研制时间:1953年;定型时间:1953年;,国家:中国;,,,,,,
MG3式7.62mm毁灭者通用机枪,机枪,,,,,,,,,,,使用国家:;原产国:德国;,,,,,,
布伦式轻机枪,机枪,别称:布朗式轻机枪;,外文名:Bren MK;,,,,口径:7.7MM、7.92MM;,,,,,国家:英国、加拿大;,,,,,,
K3轻机枪,机枪,,,,,,,,,,,,,,,,,
并列机枪,机枪,,,,,,,,,,,,,,,,,
Yak-B12.7毫米机枪,机枪,,,次型/级:YakBYu-12.7;,,,"全长:1,345 毫米（52.95 英吋）;",,,,服役时间:1977年;研制时间:1968年;,国家:苏联;,,,,,,
SG43古尔约诺夫重机枪,机枪,,,,,,全枪长:1.708米;枪管长:0.72米;,,,,,,,,,,,
马克沁M1910重机枪,机枪,,,,弹头初速:860;,,口径:7.62mm;,,,,,国家:前苏联;,设计师:纳甘兄弟;,,,,,
M1917A1式勃朗宁(水冷式)重机枪,机枪,,,,,,枪管长:607毫米;枪身长:968毫米;,枪身重:15千克;,,,,,,,,,,
明治三十八年式重机枪,机枪,,,,,,全枪长:1448 mm;口径:6.5mm;,,,,,,,,,,,
QJZ89式重机枪,机枪,,,,,,全长:1192毫米;口径:12.7毫米;,,,,服役时间:1989;,,,,,,,
斯通纳86机枪,机枪,,英文名称:Ares LMG;,,,,枪管长:550 mm;,,,,,,,,,,,
追击者HK23,机枪,,,,,,,,,,,,,,,,,
中国红M249,机枪,,,,,,,,,,,,,,,,,
AEK-999Barsuk通用机枪[军事武器枪械],机枪,,,,,,"全枪长:1,188 mm;枪管长:605 mm;",空枪重:8.74 kg;,,,,,,,,,,
PK通用机枪[军事武器枪械],机枪,,外文名:Pulemyot Kalashnikova;,,,,,,,,,国家:苏联;,,,,,,
终结者M134,机枪,,,,,,,,,,,,,,,,,
德什卡12.7mm重机枪,机枪,,,,,,,,,,时间:1930年;时间停产:1935年;,,,,,,,
大正三年式重机枪,机枪,,,,弹头初速:740 m/s;,,口径:6.5mm;,,,,,国家:日本;,设计师:南部麒次郎;,,,,特点:射击精度高，平射转换速度快;,
M1917A1式重机枪,机枪,,外文名:Browning M1917A1 7.62mm Machine Gun;,,,,,,,,,,,用途:杀伤中距离有生目标;,现状:停产;,,,
麦德森机枪,机枪,,外文名:Madsen machine guns;,,,,,,,,时间:1890年左右;生产日期:1905年;,国家:丹麦;,设计师:让·特奥多·斯考博;,,,,特点:射击精度高、性能可靠;,
掠食者M60E4,机枪,,,原型:美制M60E4型通用机枪;,,,,,,,,,,,,,,
麦德森,机枪,,,,,,,,,,,国籍:丹麦;,,,,,,
M1909贝内特-梅西轻机枪,机枪,,,原型:法国哈其开斯M1909轻机枪;型号:M1909;,,,,,,,,,,,,,,
九九式轻机枪,机枪,,外文名:きゅうきゅうしきけいきかんじゅう;,,,,口径:7.7MM;,,,,,原产国:日本;,生产商:日立工机株式会社;研发者:南部麒次郎;,,,,,
Negev[军事武器枪械],机枪,,英文名称:Negev;,,,,,,,,研制时间:1990年;,国家:以色列;,,,,,,
ZB53重机枪,机枪,,,,初速:792m/s;,,口径:7．92mm;,,,,,,,,,,,
ZB60重机枪,机枪,,,,,,全枪长:2050mm;口径:15mm;,全枪重:55kg（无架座）;,,,,,,,,,,
M60系列通用机枪,机枪,,外文名:M60;,,,,,,,,,,,,,,,
QJG式高射机枪,机枪,,,,,,,,,,研制时间:2002年;,国家:中国;,,,,,,
马克辛机枪,机枪,,外文名:Maxim gun;,次型/级:民24式重机枪;,,,,,,,服役时间:1888年;定型时间:1884年;研发日期:1883年;,国家:美国;,设计师:海勒姆·史蒂文斯·马克沁;,,,,,
M240L机枪,机枪,,,,,,,,,,,,开发商:柯尔特防务公司和FN制造公司;,,,,,
迷你岗,机枪,,,,,,口径:7.62mm;,,,,,,,,,,,
M60式7.62mm通用机枪,机枪,,,,,,,,,,,国家:美国;,,,,,,
M249机枪[军事武器枪械],机枪,别称:M249、SAW或M249 SAW;,外文名:M249 squad automatic weapon;,,,,,,,,,国家:美国;原产地:比利时;,,,,,,
美国M60通用机枪,机枪,,,,,,,,,,,,生产商:国萨科防务公司;,,,,,
M134迷你炮机枪,机枪,,,,,,口径:7.62mm;,,,,,,,,,,特点:300发/分钟至6000发/分钟;,
M60-A,机枪,,,,战斗射速:200 RPM;初速:860 m/s;理论射速:500~650 RPM;,有效射程:800m-1000m;,枪管长:560mm;全长:1105 mm;,枪重:10.5 kg;,弹匣容量:50/150;,,,,制造商:Saco Defence Inc;,,,,,
米尼岗M134式7.62mm机枪,机枪,,外文名:Minigun;,,,有效射程:1500米;,,,,,,国家:美国;,设计师:理查·乔登·加特林;,用途:装备在直升机上使用，也可作为机械化步兵的车载武器;,,,特点:射速高，火力猛，结构复杂;,
M240,机枪,,外文名:M240 Machine Gun;,,,,,,,,服役时间:1977-目前（2015）;,国家:比利时，美国;,生产商:国营赫斯塔尔生产有限公司;设计师:欧内斯特·费尔菲;,用途:陆军和海军陆战队步兵;,,,,
M1917式勃朗宁重机枪,机枪,,,,,,枪管长:607毫米;,,,,,国家:美国;,设计师:约翰·摩西·勃朗宁;,,,,,
MG-08/15重机枪,机枪,,,前型/级:MG-08机枪;,,,,,,,服役时间:1916年;定型时间:1915年;,国家:德国;,,用途:杀伤有生目标;,,,,
美国SPW机枪,机枪,,,,,,全长:：1050mm;口径:：5.56mm;,重量:5.9kg;,,,,,,,,,,
通用机枪,机枪,别称:轻重两用机枪;,外文名:general purpose machine gun-GPMG;,,,,,,,,,,,,,,特点:它既具有重机枪射程远、威力大，连续射击时间长的的优势，又兼备轻机枪携带方便、使用灵活，紧随步兵实施行进间火力支援的;,
RPD[轻机枪],机枪,,外文名:Цзе Gejia Королев RPD Ручной пулемет;,,,,口径:7.62;,,,,,国家:苏联;,,,,,,
维克斯式中型机枪,机枪,,外文名:Vickers;,,理论射速:500发/分钟;,,口径:0.303 英寸;,,,,,国家:英国;,,,,,,
英国L7A1／A2式7.62MM通用机枪,机枪,,外文名:Bren MK;,,,,口径:7.7MM、7.92MM;,,,,,生产国:英国、加拿大;,,,,,,
约翰·勃朗宁,机枪,,外文名:John Moses Browning;,,,,,,,,出生日期:1855年1月21日;逝世日期:1926年11月26日;,国籍:美国;,,,,,,
一式重机枪,机枪,,,,,,,,,,研发日期:1941年;,原产国:日本;,,,,,,
棕贝丝,机枪,,,,,,,,,,,,,,,,,
ZB1937重机枪,机枪,,,,,,枪长:109.5厘米;枪管长:73厘米;,空枪重:19公斤;,,,,,,,,,,
中国67-2式7.62毫米重机枪,机枪,,,,弹头初速:840米/秒;,最大射程:3000米;,长:1350毫米;,重:15.5公斤;,,,,,,,,,,
艾达·李,机枪,,,,,,,,,,,,,,,,,
AANF1式7.62mm通用机枪,机枪,,,,初速:840m/s;理论射速:700发/min;,有效射程:800m;,口径:7.62mm;,,,,,,,,,,,
伯格曼M1910机枪,机枪,,,,,,,,,,,,,,,,,
班用机枪,机枪,,,,理论射速:600-1200发/分;,,,,,,,,,,,,,
勃朗宁轻机枪,机枪,,,,,,,,,,服役时间:1918年;定型时间:1917年;,国家:美国;,设计师:约翰·摩西·勃朗宁;,,,,,
勃朗宁重机枪,机枪,,外文名:Browning;,,,,,,,,,,,,,,,
比利时FN公司生产的GAU-21机枪,机枪,,外文名:Belgian FN company gau-21 machine gun;,,,,,,,,,,,,,,,
贝莎机枪,机枪,,"外文名:Machine Gun, BESA;",,,,,,,,,原产国:英国;,生产商:伯明翰轻武器有限公司;研发者:哈力克（Vaclav Holek）;,,,,,
CF06式7.62毫米通用机枪,机枪,,,,,有效射程:800m;,口径:7.62毫米;,枪身重:8.1kg;,弹药:北约7.62x51毫米NATO;,,生产日期:1980年;,国家:中国;,,用途:杀伤有生目标;,,,,
德国HK21通用机枪,机枪,,,,初速:８００ｍ／s;,有效射程:1200m;,口径:７．６２ｍｍ;,,,,,,,,,,,
多管机枪,机枪,,,,,,,,,,时间:1878年;,,,,,,,
大正十一式轻机枪,机枪,别称:歪把子;,,,弹头初速:736米/秒;,,口径:6.5mm;全长:1100mm;,重量:10.2kg;,,,时间:1922年;生产日期:1922年;,产地:日本;国家:日本;,,用途:地方部队、民兵、游击队使用;,,,,
DShK/DShKM大口径机枪,机枪,,"外文名:Дегтярев, Крупнокалиберный;",,,,口径:12.7×108mm;,,,,研发日期:1925年;,,,,,,,
俄罗斯PK系列通用机枪,机枪,,外文名:Pulemyot Kalashnikova;,,,,,,,,,原产国:苏联;,发明者:季莫费耶维奇·卡拉什尼科夫;,,,,,
QJG-02高射机枪,机枪,,英文名称:QJG-02 Heavy Machine Gun;,次型/级:此为最新型;前型/级:75式高射机枪;,,,,,,,服役时间:2002年;研制时间:1994～2002年;定型时间:2002年7月;,国家:中国;,,,,,,
HK21通用机枪,机枪,,,,,,,,,,,国家:德国;,,用途:杀伤有生目标;,,,,
毁灭者MG3,机枪,,,,,,口径:7.62mm;,,,,,产地:德国;,,,,,,
HK221通用机枪,机枪,,,,,,全枪长:1185毫米;枪管长:547毫米;口径:7.62×51mm NATO;,,,,,,,,,,,
机枪[武器],机枪,,,,,,,,,,,,,,,,,
ZB-26轻机枪,机枪,别称:捷克式轻机枪;,,,弹头初速:830m/s;射速:500发/min;,,全枪长:1161mm;枪管长:672mm;口径:7·92mm;,全枪重:9.60kg;,,,服役时间:1926年;定型时间:1924年;研发日期:1920年;生产日期:1926年;,国家:捷克斯洛伐克;,,,,,,
九六式轻机枪,机枪,,外文名:きゅうろくしきけいきかんじゅう;,,弹头初速:735 米/秒;,,口径:6.5MM;,,,,服役时间:1936-1945;,国家:日本;,设计师:南部麒次郎;,用途:二战;,,,,
加特林机枪,机枪,,,,,,,,,,,,,,,,,
加德奈机枪,机枪,,,,,,,,,,时间:1874 年;,,,,,,,
理查德·乔丹·加特林,机枪,,,,,,,,,,去世日期:1903年2月25日;,国籍:美国;,,,,,,
LMG-25轻机枪,机枪,,,,,,全长:1163mm;口径:7.5×55mm;,重量:8.65千克;,,,,,,,,,,
M61火神式航空机关炮,机枪,,,,,,,,,,,,,,,,,
MG3式7.62mm通用机枪,机枪,,,,,,,,,,,使用国家:;原产国:德国;,,,,,,
美国XM312重机枪,机枪,,外文名:XM312;,,,,,,,,,,,,,地点:美国;,属性:轻型重机枪;,
美国柯尔特M16A2式5.56mm轻机枪,机枪,,,,,,枪管长:510mm;,,,,,,生产单位:美国柯尔特制造公司;,用途:用于杀伤中、近距离有生目标;,现状:装备;,,,
MG-34通用机枪,机枪,,外文名称:Maschinengewehr 34;,,,,,,,,,,,,,,,
NSV重机枪,机枪,,外文名:NSV тяжелые пулеметы;,前型:DSHK重机枪;,枪口初速:845 m/s;理论射速:700～800 RPM;实际射速:80～100 RPM;,,枪管长:1346 mm;口径:12.7MM;枪长:1560 mm;,枪管重:9 kg;,,,,国家:俄罗斯;,,,,,,
ak-47式步枪刺刀,刀具,,,,,,,,,,,国家:苏联;,,用途:用于步枪，也可作匕首使用;,,,,
三棱军刺,刀具,,外文名:Sanleng thorns;,,,,长度:30到50厘米不等;,,,,,,,,,,,
剃刀鲸直刀,刀具,,外文名:Razorback;,,,,,,,,,,,,,,,
中国91式7.62毫米4管匕首枪,刀具,,,,,,,,,,定型时间:1992年;,国家:中国;,,,,,,
FN FAL步枪刺刀,刀具,,,,,,,,,,,,生产单位:FN公司，BE;,用途:用于步枪;,现状:装备;,,,
美国M5式刺刀,刀具,,,,,,,,,,装备空军时间:1961年;,,,,,,特点:前半部分双刃，后半部分单刃;,
美国M6式刺刀,刀具,,,,,,,,,,,,,,,,,
美国M7式刺刀,刀具,,外文名:m7;,,,,,,,,,,,,,,,
美国空军救生刀,刀具,,,,,,,,,,,,,,,,,
前捷克斯洛伐克VZ式刺刀,刀具,,,,,,,,,,,,生产单位:比利时国营赫斯塔尔公司(FN公司);,用途:用于步枪，也可作战斗刀使用;,现状:装备;,,,
前苏联AK-47式突击步枪刺刀,刀具,,外文名:ШтыкАвтоматаАК-47;,,,,,,,,服役时间:1951年;,国家:苏联;,,用途:用于步枪，也可作匕首使用;,,,,
前苏联AKM式步枪刺刀,刀具,,,,,,,,,,,,,用途:用于步枪;,现状:装备;,,,
前苏联SKS折叠式刺刀,刀具,,,,,,,,,,,,,,,,,
日本特种部队救生刀,刀具,,外文名:special forces survival and airborne survival knives;,,,,,,,,,,,用途:用于自卫和作锯切工具使用;,现状:生产;,,,
西班牙探险者救生刀,刀具,,外文名:The Spanish explorers survival knife;,,,,,,,,,,生产单位:西班牙马托武器公司;,,,,,
英国702号救生刀,刀具,,外文名:No.702 Survival Knife;,,,,,,,,,,生产单位::英国威尔金森·斯沃德公司;,,现状:生产;,,,
英国L85A1式步枪刺刀,刀具,,外文名:L85A1 Rifle Bayonet;,,,,,,,,,,生产单位::英国皇家军械厂;,,现状:装备;,,,
中国“鞭”式刺刀,刀具,,,,,,全长:38;,,,,,国家:中国;,,,,,,
k63重型防弹头盔,头盔,,英文名:填写此处;,,,,,重量:填写此处;,,,服役时间:填写此处;,,,,,,,
解放军QGF03头盔,头盔,,,,,,,,,,,国籍:中国;,,,,,,
英国GS4式头盔,头盔,,,,,,,,,,,,生产单位:英国GS4式头盔;,用途:防杀伤破片和枪弹;,,,,
英国SAR30式防暴头盔,头盔,,,,,,,,,,,,,,,,,
坦克头盔,头盔,,外文名:Tanked Racing;,,,,,,,,,,,,,,,
美国增强型战斗头盔,头盔,,外文名:ECH);,,,,,,,,,,,,,,特点:超轻、高强度;,
美国加普科王冠牌6000式通用头盔,头盔,,,,,,,,,,,,研制生产单位:美国加普科枪械与部件公司;,用途:防钝器打击;,现状:生产;,,,
以色列拉宾特克RBH100式头盔,头盔,,,,,,,,,,生产:以色列拉宾特克工业有限公司;,,设计:以色列拉宾特克工业有限公司;,,,,,
星空迷彩,服装,,英文名:Star camouflage;,,,,,,,,,国家:中国;,,,,,性质:军用迷彩服的一种;,
MC复合迷彩,服装,,英文名:multicam;,,,,,,,,,国家:美国;,,,,,,
中国人民解放军2007式军服,服装,,外文名:People's Republic of China 07-type military uniforms;,,,,,,,,,,,,,,,
M81丛林迷彩,服装,,,,,,,,,,,,,,,,属性:海军博览馆;,
三色沙漠迷彩,服装,,,,,,,,,,创办时间:1986年11月1日;,,,,,,,
中国人民解放军1971式军服,服装,,,,,,,,,,研发时间:1969年;装备全军时间:1973年;,,,,,,,
剪切增稠液体,服装,,外文名:Shear thickening Fluid;,,,,,,,,,,,用途:防弹服、防刺服、防割服;,,,,
美国P.A.C.APGC系列防弹背心,服装,,,,,,,,,,,,生产单位:美国防护衣公司;,用途:防各种枪弹;,,,特点:防水性能好、可自如活动等;,
美国加普科王冠牌3000式通用头盔,服装,,,,,,,,,,,,,,,,,
美国莫纳德诺克PR-24式警棍,服装,,,,,,,,,,,,生产单位:美国莫纳德诺克长寿命产品公司;,用途:自卫和制服暴徒;,现状:装备;,,,
前南斯拉夫博罗沃1式防弹衣,服装,,"外文名:Institute Bezbednosti, YU(Former);",,,,,,,,,,,用途:防各种枪弹;,现状:生产;,,,
前南斯拉夫博罗沃2式防弹衣,服装,,外文名:Bullet-proof Jackets;,,,,,,,,,,生产单位:前南斯拉夫安全研究所;,用途:防各种枪弹;,,,,
英国M1式头盔,服装,,,,,,,,,,,,生产单位:英国国营塑料有限公司;,用途:防杀伤破片和枪弹;,现状:装备;,,,
英国托普－特克Ⅴ式头盔,服装,,外文名: Top-Tek Mark Ⅵ and Mark Ⅴ Helmets;,,,,,,,,,,生产单位:英国头盔有限公;,用途:防枪弹和有害液体;,现状:生产;,,,
英国阿玛利特A系列防弹衣,服装,,"单位英文名:Armalite Body Armour, GB;",,,,,,,,,,生产单位:：英国阿玛利特防弹衣公司;,用途:防各种枪弹;,,,,
比利时FNP系列防弹背心,服装,,,,,,,,,,,国家:比利时;,生产单位:FN公司;,用途:防各种枪弹;,,,,
比利时勃朗宁防弹头盔,服装,,,,,,,,,,,,生产单位:比利时勃朗宁公司;,用途:防枪弹;,现状:生产;,,,
比利时勃朗宁防暴头盔,服装,,外文名:Browning Anti-riot Helmet;,,,,,,,,,,生产单位:比利时勃朗宁公司;,用途:防棍棒等的打击;,,,,
并联型直流电源防雷器,服装,,,,,,,,,,,,,,,,,
程控电话防雷器,服装,,,,,,,,,,,,,,,,,
C级电源防雷器,服装,,,,,,,,,,,,,,,,,
德国PK系列防弹衣,服装,,,,,,,,,,,,生产单位:德国PK电子公司;,用途:防各种枪弹;,现状:生产;,,,
德国勒默尔P系列头盔,服装,,外文名:Romer P Series of Helmet;,,,,,,,,,,生产单位:德国勒默尔头盔与防护装备公司;,用途:防钝器打击;,现状:生产;,,,
德国梅勒防弹衣,服装,,外文名:Mehler Bullet-proof Jackets;,,,,,,,,,,生产单位:德国梅勒瓦里奥系统有限公司;,用途:防各种枪弹和杀伤破片;,现状:生产;,,,
单路电源防雷器,服装,,,,,,,,,,,,,,,,,
D级电源防雷器,服装,,,,,,,,,,,,,,,,,
单相电源防雷器,服装,,,,,,,,,,,,,,,,,
法国REF78094式头盔,服装,,外文名:REF78094;,,,,,,,,,,,用途:防钝器打击;,现状:生产;,,,
法国REF系列保安人员防弹衣,服装,,,,,,,,,,,,生产单位:法国奥多克·科莫迪泰克公司;,用途:防各种枪弹;,现状:生产;,,,
法国REF系列特种警察用防弹衣,服装,,外文名:REF Series of Special Police Bullet-proof Jack;,,,,,,,,,,生产单位:法国奥多克·科莫迪泰克公司;,,现状:生产;,,,
法国REF系列组合式防弹衣,服装,,外文名: REF Series of Modular Bullet-proof Jacket;,,,,,,,,,,生产单位:法国奥多克·科莫迪泰克公司;,用途:防各种枪弹;,现状:生产;,,,
法国REF系列防暴服,服装,,,,,,,,,,,,生产单位:法国奥多克·科莫迪泰克公司;,用途:防暴徒袭击;,现状:生产;,,,
法国REF防弹头盔,服装,,外文名:REF Bullet-proof Helmet;,,,,,,,,,,生产单位:法国奥多克·科莫迪泰克公司;,用途:防各种枪弹;,,,,
法国REF防暴头盔,服装,,外文名:REF Anti-riot Helmet;,"型号:REF78091式,REF78093式;",,,,,,,,,研制生产单位:法国奥多克·科莫迪泰克公司;,,,,,
法国SNPE系列防弹背心,服装,,,,,,,,,,,国家:法国;,生产单位:法国国营火炸药公司;,用途:防各种枪弹;,,,,
法国加莱5000式防暴头盔,服装,,,,,,,,,,,,生产单位:法国加莱公司;,用途:防钝器的打击;,现状:生产;,,,
