weapon,别名,时间,国家,特点,作用
扶桑级战列舰,无,1944年10月编入,日本,该级舰的外形特点是其拥有着极为高耸的舰桥,暂无介绍
敷岛号战列舰,无,1904年1905年组成,日本,暂无介绍,暂无介绍
复仇级战列舰,无,暂无介绍,未知,采用单烟囱,（舰名首字母均为R，也称R级，实际建成5艘，两艘舰的建造计划被取消后，其预算被变更用于建造声望级战列巡洋舰，另有一艘HMS.Resistance 停建）
海军乌鸦,无,暂无介绍,未知,暂无介绍,暂无介绍
豪号战列舰,无,1942年8月29日建成服役,未知,舰载武器装有：356毫米口径主炮10门（前后各一座4联炮弹，前一座双联炮塔）、133毫米口径火炮16门、40毫米口径火炮40门及20毫米口径火炮70门等,暂无介绍
汉诺威号战列舰,无,1904年11月开始进行架设,德国,此时距革命性“全重型火炮（all big gun）”概念的无畏号战列舰加入英国皇家海军已逾十个月,暂无介绍
华盛顿号,无,1938年6月14日开工建造,日本,暂无介绍,暂无介绍
军舰[海上执行战斗任务的船舶],海军舰艇,暂无介绍,未知,暂无介绍,军舰与民用船舶的最大区别是舰艇上装备有武器；其次是军舰的外表一般漆上蓝灰色油漆，舰尾悬挂海军旗或国旗；桅杆上装有各种用于作战的雷达天线和电子设备也是军舰有别于民船的一个标志
加里宁号核动力导弹巡洋舰,无,暂无介绍,俄罗斯,暂无介绍,暂无介绍
考佩斯号巡洋舰,无,1989年3月11日下水,美国,暂无介绍,暂无介绍
莱昂纳多·达·芬奇号,无,1911年10月14日下水,未知,暂无介绍,暂无介绍
莱比锡级,无,暂无介绍,德国,该舰采用建造中的柯尼斯堡级轻型巡洋舰的设计图纸,根据条款的要求，德国军舰在除了用于训练及海岸防御外，不做其它用途，替代舰必须在军舰其下水时间后20年才可动工建造
平远舰,无,1894年参加,中国,暂无介绍,暂无介绍
冯·德·坦恩号战列巡洋舰,无,暂无介绍,德国,主炮口径280毫米虽然小于英国同类战舰的12英寸口径主炮，但其装甲重量在整体排水量中所占的比例明显高于英国同类的战列巡洋舰，舰体两舷装备较大口径副炮,暂无介绍
扬威舰,无,1881年7月15日建成,中国,暂无介绍,暂无介绍
超勇级,无,暂无介绍,中国,暂无介绍,暂无介绍
靖远舰,无,1887年7月建成,中国,其吨位与速度、武器装备均处于当时国内、乃至亚洲的领先地位,暂无介绍
镇远舰,无,1880年订购,中国,暂无介绍,暂无介绍
海容级巡洋舰,无,1898年到达,中国,暂无介绍,暂无介绍
铃谷号/Suzuya,无,1933年12月11日开工,未知,暂无介绍,暂无介绍
衣笠号/Kinugasa,无,1942年11月14日击沉,日本,暂无介绍,暂无介绍
三偎号/Mikuma,无,暂无介绍,未知,暂无介绍,暂无介绍
球磨级/Kuma,无,暂无介绍,日本,暂无介绍,暂无介绍
矢矧号/Yahagi,无,暂无介绍,日本,暂无介绍,暂无介绍
格拉夫·斯佩号装甲舰,无,暂无介绍,未知,全长187.98m、舰宽21.71m、吃水5.79m,暂无介绍
英国“曼彻斯特”号轻巡洋舰,无,1942年8月遭沉没,英国,暂无介绍,暂无介绍
衣笠号巡洋舰,无,1942年11月14日击沉,日本,暂无介绍,暂无介绍
英国“苏塞克斯”号重巡洋舰,无,暂无介绍,英国,暂无介绍, 英国苏塞克斯号重巡洋舰(1929-1945)它主要用于为盟国运输船队护航，防止德国潜艇，飞机进行偷袭
羽黑号巡洋舰,无,暂无介绍,菲律宾,暂无介绍,暂无介绍
印第安纳波利斯号重型巡洋舰,无,1930年3月31日开工,美国,暂无介绍,暂无介绍
最上号巡洋舰,无,1930年4月签,日本,暂无介绍,暂无介绍
足柄号巡洋舰,无,暂无介绍,日本,暂无介绍,暂无介绍
不倦级战列巡洋舰,无,暂无介绍,英国,暂无介绍,暂无介绍
德弗林格尔级战列巡洋舰,无,1912年1913年开工建造,德国,采用高干舷平甲板舰型，舰艏具有明显的舷弧，德国海军首次在战列巡洋舰上采用305毫米口径主炮，动力系统采用油煤混合燃烧型的锅炉，舯部水密舱采用双重纵向隔板,暂无介绍
狮级战列巡洋舰,无,1909年9月29日开工,英国,暂无介绍,暂无介绍
埃姆登号轻型巡洋舰,无,1919年6月28日签署限制,德国,暂无介绍,随后英国发还8艘老旧的战列舰（注1），这些舰除了用于训练及海岸防御外，规定不做其它用途
阿尔及尔级重型巡洋舰,无,暂无介绍,意大利,暂无介绍,暂无介绍
阿芙乐尔号巡洋舰[十月革命的象征],无,1903年,俄罗斯,暂无介绍,暂无介绍
爱宕号巡洋舰,无,1944年10月23日击沉,日本,暂无介绍,暂无介绍
贝尔纳普级巡洋舰,无,1975年6月30日改称,美国,暂无介绍,暂无介绍
德意志级巡洋舰,袖珍战列舰,暂无介绍,德国,暂无介绍,暂无介绍
052D型导弹驱逐舰,无,2014年3月21日加入,中国,暂无介绍,暂无介绍
“菲茨杰拉德”号驱逐舰,无,暂无介绍,美国,暂无介绍,暂无介绍
Z级驱逐舰,无,1939年爆发时有服役,德国,暂无介绍,暂无介绍
118舰,无,2015年7月7日下水,未知,暂无介绍,排水量：标准6000多吨，满载7500吨主尺寸：长156米，宽18米，吃水6.5米主机：2台QC-280型燃气涡轮发动机和2台MTU12V1163TB83柴油发动机航速：30节（最大）编制：280人续航力：4500海里/15节武器：64单元导弹垂直发射系统1座130毫米H/PJ-38型单管主炮1座H/PJ-12型730近防炮系统1座HQ-10近程舰空导弹发射装置4座3×6多用途发射器2座3联324毫米鱼雷发射管直升机：1架卡-28反潜直升机——相关资料——·                                                    
154 厦门号导弹驱逐舰,无,2015年7月7日下水,中国,暂无介绍,暂无介绍
117 西宁号导弹驱逐舰,无,2014年8月26日下水,中国,暂无介绍,暂无介绍
175 银川号导弹驱逐舰,无,2016年7月12日入列,中国,具有较强的区域防空和对海作战能力,暂无介绍
174 合肥号导弹驱逐舰,无,2013年7月1日下水,未知,暂无介绍,排水量：标准6000多吨，满载7500吨 主尺寸：长156米，宽18米，吃水6.5米 主机：2台QC-280型燃气涡轮发动机和2台MTU12V1163TB83柴油发动机 航速：30节（最大） 编制：280人续航力：4500海里/15节 武器：64单元导弹垂直发射系统 1座130毫米H/PJ-38型单管主炮 1座H/PJ-12型730近防炮系统1座HQ-10近程舰空导弹发射装置4座3×6多用途发射器 2座3联324毫米鱼雷发射管 直升机：1架卡-28反潜直升机 ——相关资料——·【15年12月】新型导弹驱逐舰合肥舰加入海军战斗序列[图]                                                     
173 长沙号导弹驱逐舰,无,2012年12月28日下水,未知,暂无介绍,排水量：标准6000多吨，满载7500吨 主尺寸：长155米，宽18米，吃水6.5米 主机：2台QC-280型燃气涡轮发动机和2台MTU12V1163TB83柴油发动机 航速：30节（最大） 编制：280人续航力：4500海里/15节 武器：64单元导弹垂直发射系统 1座130毫米H/PJ-38型单管主炮 1座H/PJ-12型730近防炮系统1座HQ-10近程舰空导弹发射装置4座3×6多用途发射器 2座3联324毫米鱼雷发射管 直升机：1架卡-28反潜直升机 ——相关资料——·【15年08月】湖南省委常委、长沙市委书记易炼红率团慰问南疆官兵                                                     
172 昆明号导弹驱逐舰,无,2012年8月28日下水,中国,暂无介绍,排水量：标准6000多吨，满载7500吨 主尺寸：长155米，宽18米，吃水6.5米 主机：2台QC-280型燃气涡轮发动机和2台MTU12V1163TB83柴油发动机 航速：30节（最大） 编制：280人续航力：4500海里/15节 武器：64单元导弹垂直发射系统 1座130毫米H/PJ-38型单管主炮 1座H/PJ-12型730近防炮系统1座HQ-10近程舰空导弹发射装置4座3×6多用途发射器 2座3联324毫米鱼雷发射管 直升机：1架卡-28反潜直升机 ——相关资料——·【14年03月】我国新型导弹驱逐舰昆明舰交付海军                                                     
169 武汉号导弹驱逐舰,无,2002年10月下水,中国,暂无介绍,"排水量：基准5200吨，满载5800吨主尺寸：长154米，宽16米，吃水6米主机：柴燃交替动力方式(CODOG) 双轴推进，两台MTU 12V1163-TB83柴油发动机（8840马力），两台DA80燃气轮机（58200马力）航速：32节(最高)续航力：4000海里/18节编制：280人武器：反舰导弹：4座4联YJ-83反舰导弹发射架舰空导弹：2座9M38M单臂防空导弹发射架,弹药为SA-N-12中程防空导弹1座H/PJ-87式单管100毫米舰炮2座HPJ-12型7管30毫米近防炮系统4座726-4型3×6多用途发射器2座3联7424型324毫米鱼雷发射管2座3200型6管反潜火箭深弹发射装置直升机：1架卡-28反潜直升机——相关资料——·                                                    "
139 宁波号导弹驱逐舰,无,2002年1月订购,中国,暂无介绍,暂无介绍
138 泰州号导弹驱逐舰,无,2002年1月订购,中国,暂无介绍,暂无介绍
137 福州号导弹驱逐舰,无,1990年开工建造在前完工,俄罗斯,暂无介绍,暂无介绍
136 杭州号导弹驱逐舰,无,1994年5月下水,中国,暂无介绍,暂无介绍
116 石家庄号导弹驱逐舰,无,2005年4月12日组建,未知,暂无介绍, 主尺度：长155米，宽17米排水量：6500吨（标准），7100吨（满载） 航速：29节主机：2台国产蒸汽轮机，49600马力续航力：6500海里（以15节的航速）导弹：舰舰导弹：2座4联YJ-83反舰导弹发射架舰空导弹：6座八单元S-300F（SA-N-6）舰空导弹垂直发射装置舰炮：1座H/PJ-87式单管100毫米舰炮2座730型30毫米近防炮系统鱼雷：2座3联324毫米鱼雷发射管火箭：2座18管多用途火箭发射器直升机：只设有直升机起降平台                                                    
115 沈阳号导弹驱逐舰,无,2003年动工,中国,暂无介绍,主尺度：长155米，宽17米，吃水6米 排水量：6500吨（标准），7100吨（满载） 航速：29节主机：2台国产蒸汽轮机，49600马力，双桨，双舵续航力：6500海里（以15节的航速）导弹：舰舰导弹：2座4联YJ-83反舰导弹发射架舰空导弹：6座八单元S-300F（SA-N-6）舰空导弹垂直发射装置舰炮：1座H/PJ-87式单管100毫米舰炮2座730型30毫米近防炮系统鱼雷：2座3联324毫米鱼雷发射管火箭：2座18管多用途火箭发射器直升机：只设有直升机起降平台                                                    
134 遵义号导弹驱逐舰,无,1978年11月19日开工制造,中国,暂无介绍,暂无介绍
133 重庆号导弹驱逐舰(退役),无,1978年5月23日开工制造,未知,暂无介绍,暂无介绍
109 开封号导弹驱逐舰,无,1977年10月28日开始建造,中国,暂无介绍,暂无介绍
132 合肥号导弹驱逐舰,无,1977年4月开工制造,中国,暂无介绍,暂无介绍
162 南宁号导弹驱逐舰(退役),无,1970年12月26日开始建造,中国,暂无介绍,暂无介绍
104 太原号导弹驱逐舰(退役),无,1953年6月4日出售,苏联,暂无介绍,暂无介绍
103 长春号导弹驱逐舰(退役),无,1953年6月4日出售,苏联,暂无介绍,暂无介绍
102 抚顺号导弹驱逐舰(退役),无,1953年6月4日出售,苏联,暂无介绍,暂无介绍
101 鞍山号导弹驱逐舰(退役),无,1974年改,苏联,暂无介绍,暂无介绍
726-4型干扰弹发射装置,无,暂无介绍,中国,暂无介绍,其主要功能是和近程反导舰炮武器系统共同组成军舰末端防御体系，用于对反舰导弹进行软对抗
南昌号(051型驱逐舰舷号163),无,1977年开工制造,中国,暂无介绍,暂无介绍
“南昌号”导弹驱逐舰,无,2017年6月28日下水,中国,暂无介绍,暂无介绍
哈尔滨号导弹驱逐舰,无,1989年9月8日开工制造,中国,暂无介绍,暂无介绍
巴德尔号导弹驱逐舰,无,2009年4月18日应邀参加庆祝成立,巴基斯坦,暂无介绍,暂无介绍
“凌波”号吹雪型驱逐舰11号舰,无,1928年1942年服役,日本,暂无介绍,暂无介绍
武汉号052B驱逐舰,无,2002年下水,中国,暂无介绍,从舰艇的武器、电子设备来看，应属多用途型驱逐舰，在防空、反舰、反潜能力上都有一手，整体性能在国际同级舰中处于中上水平，在亚洲处于先进水平
广州号168舰052B型驱逐舰首舰,无,1997年开始研制,中国,该舰是具有防空、反潜、反舰、具备舰队区域防空能力的多用途驱逐舰,该舰是具有防空、反潜、反舰、具备舰队区域防空能力的多用途驱逐舰
兰维尔号导弹驱逐舰,无,暂无介绍,印度,暂无介绍,暂无介绍
金奈号驱逐舰,无,暂无介绍,印度,暂无介绍,暂无介绍
济南号导弹驱逐舰,无,1968年12月24日开工,中国,暂无介绍,暂无介绍
克什米尔号驱逐舰,无,暂无介绍,未知,暂无介绍,暂无介绍
科特林／萨姆．科特林级驱逐舰,无,1９５４年１９５８年建造,未知,暂无介绍,暂无介绍
卡萨德级C70防空型驱逐舰,无,1982年9月开工,法国,暂无介绍,卡萨德级C70防空型驱逐舰是法国海军一级以防空为主的多用途驱逐舰，是在乔治·莱格级反潜驱逐舰的基础上发展的 ，主要承担航母编队的区域防空任务，也可单独使用
卡塔马卡级驱逐舰,无,暂无介绍,阿根廷,暂无介绍,暂无介绍
旅大Ⅲ级驱逐舰[旅大Ⅲ级驱逐舰],无,1991年下水,中国,暂无介绍,暂无介绍
毛奇号重巡洋舰,无,1916年隶属,英国,暂无介绍,暂无介绍
美国威廉波特尔号驱逐舰,无,暂无介绍,美国,暂无介绍,暂无介绍
萨尔6型护卫舰,无,暂无介绍,以色列,暂无介绍,暂无介绍
塔曼达雷级护卫舰,无,暂无介绍,巴西,暂无介绍,暂无介绍
朱拜尔级护卫舰,无,暂无介绍,西班牙,暂无介绍,暂无介绍
501 信阳号护卫舰,无,2015年3月7日举行命名,未知,暂无介绍,暂无介绍
535 宣城号护卫舰,无,2016年8月19日下水,未知,暂无介绍,暂无介绍
556 宜春号护卫舰,无,2015年10月开始建设,未知,暂无介绍,暂无介绍
518 义乌号护卫舰,无,2016年5月20日下水,未知,暂无介绍,暂无介绍
520 汉中号护卫舰,无,暂无介绍,中国,暂无介绍,暂无介绍
514 六盘水号护卫舰,无,2016年3月31日下水,中国,具有设计理念先进、集成化信息化程度高、隐身性能好、电磁兼容性强等特点，具有较强的防空、反潜和对海作战能力,暂无介绍
513 鄂州号护卫舰,无,暂无介绍,中国,该舰具有操纵性能好、适航性能好、续航力自给力大、隐身性能好、攻防性能强、自动化程度高等特点,暂无介绍
510 宁德号护卫舰,无,2015年10月16日下水,中国,暂无介绍,暂无介绍
